"Category","File","UniqueIdCount"
"blueprint","lib\features\trading_hub\arc_raiders\data\arc_blueprint_drop_report.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\data\arc_blueprint_fallback_data.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\data\arc_blueprint_intel_seed.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","81"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint_demand.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint_drop_report.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint_filter.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint_state.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\models\arc_blueprint_stats.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_blueprint_rules.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\repositories\arc_blueprint_demand_repository.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\repositories\arc_blueprint_intel_repository.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\repositories\arc_blueprint_repository.dart","0"
"blueprint","lib\features\trading_hub\arc_raiders\services\arc_blueprint_intel_service.dart","0"
"container","lib\features\trading_hub\arc_raiders\data\arc_container_types.dart","34"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_bench_upgrade_seed_data.dart","1"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_item_advice_index.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_quest_requirement_seed_data.dart","1"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_scrappy_food_queue_data.dart","7"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_scrappy_seed_data.dart","9"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart","177"
"item_resource","lib\features\trading_hub\arc_raiders\data\arc_voice_item_database.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart","116"
"item_resource","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","260"
"item_resource","lib\features\trading_hub\arc_raiders\models\arc_scrappy_filter.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\models\arc_scrappy_food_queue_item.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\models\arc_scrappy_item.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\models\arc_scrappy_state.dart","0"
"item_resource","lib\features\trading_hub\arc_raiders\repositories\arc_scrappy_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\data\arc_canonical_sources.dart","0"
"other","lib\features\trading_hub\arc_raiders\data\arc_drop_report_options.dart","0"
"other","lib\features\trading_hub\arc_raiders\data\arc_map_conditions.dart","19"
"other","lib\features\trading_hub\arc_raiders\data\trading_mock_data.dart","4"
"other","lib\features\trading_hub\arc_raiders\models\arc_availability.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_away_status.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_drop_intel.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_intel_explorer_snapshot.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_intel_hotspot.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_market_snapshot.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_match_rider_invite.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_match_rider_profile.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_report_filters.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_trade_listing.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_trader_profile.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\arc_trader_search_result.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\play_like_a_pro_state.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\trading_listing.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\trading_notification.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\trading_offer.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\trading_profile.dart","0"
"other","lib\features\trading_hub\arc_raiders\models\trading_session.dart","0"
"other","lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_engine.dart","0"
"other","lib\features\trading_hub\arc_raiders\raid_planner\data\raid_planner_event_schedule.dart","0"
"other","lib\features\trading_hub\arc_raiders\raid_planner\models\raid_planner_models.dart","0"
"other","lib\features\trading_hub\arc_raiders\raid_planner\repositories\raid_planner_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\arc_match_rider_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\arc_trade_listing_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\arc_trader_profile_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\arc_trader_search_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\arc_user_initializer.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\play_like_a_pro_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\repositories\trading_repository.dart","0"
"other","lib\features\trading_hub\arc_raiders\services\arc_intel_explorer_service.dart","0"
"other","lib\features\trading_hub\arc_raiders\services\arc_market_snapshot_service.dart","0"
"other","lib\features\trading_hub\arc_raiders\services\arc_text_sanitizer.dart","0"
"other","lib\features\trading_hub\arc_raiders\services\smart_trade_intelligence_service.dart","0"
"other","lib\features\trading_hub\arc_raiders\services\trading_push_service.dart","0"
"poi","lib\features\trading_hub\arc_raiders\data\arc_location_descriptors.dart","0"
"poi","lib\features\trading_hub\arc_raiders\data\arc_poi_data.dart","170"
"poi","lib\features\trading_hub\arc_raiders\models\arc_poi_drop_stats.dart","1"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_app_context_service.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_assistant_service.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_assistant_sheet.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_intent.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_intent_parser.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_profiles.dart","6"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_pronunciation.dart","0"
"voice","lib\features\trading_hub\arc_raiders\voice\voice_response_builder.dart","0"
